Scenario,Heuristic,Depth,Expanded nodes,Fringe size
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h1,7,17,49
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h2,7,29,83
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h3,7,41,117
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h4,7,53,151
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h1,11,90,241
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h2,11,133,358
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h3,11,174,470
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h4,11,219,593
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h1,13,164,454
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h2,13,215,594
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h3,13,258,712
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h4,13,317,876
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h1,11,74,208
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h2,11,111,305
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h3,11,145,396
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h4,11,181,492
